stable_draw_id,advertised_jackpot_minor_units,jackpot_winner_count,rollover,multiplier,extra_draw_data,prize_tiers_json
powerball-1993-11-20,,,,,,[]
powerball-1993-11-24,,,,,,[]
powerball-1993-11-27,,,,,,[]
powerball-1993-12-01,,,,,,[]
powerball-1993-12-04,,,,,,[]
powerball-1993-12-08,,,,,,[]
powerball-1993-12-11,,,,,,[]
powerball-1993-12-15,,,,,,[]
powerball-1993-12-18,,,,,,[]
powerball-1993-12-22,,,,,,[]
powerball-1993-12-25,,,,,,[]
powerball-1993-12-29,,,,,,[]
powerball-1994-01-01,,,,,,[]
powerball-1994-01-05,,,,,,[]
powerball-1994-01-08,,,,,,[]
powerball-1994-01-12,,,,,,[]
powerball-1994-01-15,,,,,,[]
powerball-1994-01-19,,,,,,[]
powerball-1994-01-22,,,,,,[]
powerball-1994-01-26,,,,,,[]
powerball-1994-01-29,,,,,,[]
powerball-1994-02-02,,,,,,[]
powerball-1994-02-05,,,,,,[]
powerball-1994-02-09,,,,,,[]
powerball-1994-02-12,,,,,,[]
powerball-1994-02-16,,,,,,[]
powerball-1994-02-19,,,,,,[]
powerball-1994-02-23,,,,,,[]
powerball-1994-02-26,,,,,,[]
powerball-1994-03-02,,,,,,[]
powerball-1994-03-05,,,,,,[]
powerball-1994-03-09,,,,,,[]
powerball-1994-03-12,,,,,,[]
powerball-1994-03-16,,,,,,[]
powerball-1994-03-19,,,,,,[]
powerball-1994-03-23,,,,,,[]
powerball-1994-03-26,,,,,,[]
powerball-1994-03-30,,,,,,[]
powerball-1994-04-02,,,,,,[]
powerball-1994-04-06,,,,,,[]
powerball-1994-04-09,,,,,,[]
powerball-1994-04-13,,,,,,[]
powerball-1994-04-16,,,,,,[]
powerball-1994-04-20,,,,,,[]
powerball-1994-04-23,,,,,,[]
powerball-1994-04-27,,,,,,[]
powerball-1994-04-30,,,,,,[]
powerball-1994-05-04,,,,,,[]
powerball-1994-05-07,,,,,,[]
powerball-1994-05-11,,,,,,[]
powerball-1994-05-14,,,,,,[]
powerball-1994-05-18,,,,,,[]
powerball-1994-05-21,,,,,,[]
powerball-1994-05-25,,,,,,[]
powerball-1994-05-28,,,,,,[]
powerball-1994-06-01,,,,,,[]
powerball-1994-06-04,,,,,,[]
powerball-1994-06-08,,,,,,[]
powerball-1994-06-11,,,,,,[]
powerball-1994-06-15,,,,,,[]
powerball-1994-06-18,,,,,,[]
powerball-1994-06-22,,,,,,[]
powerball-1994-06-25,,,,,,[]
powerball-1994-06-29,,,,,,[]
powerball-1994-07-02,,,,,,[]
powerball-1994-07-06,,,,,,[]
powerball-1994-07-09,,,,,,[]
powerball-1994-07-13,,,,,,[]
powerball-1994-07-16,,,,,,[]
powerball-1994-07-20,,,,,,[]
powerball-1994-07-23,,,,,,[]
powerball-1994-07-27,,,,,,[]
powerball-1994-07-30,,,,,,[]
powerball-1994-08-03,,,,,,[]
powerball-1994-08-06,,,,,,[]
powerball-1994-08-10,,,,,,[]
powerball-1994-08-13,,,,,,[]
powerball-1994-08-17,,,,,,[]
powerball-1994-08-20,,,,,,[]
powerball-1994-08-24,,,,,,[]
powerball-1994-08-27,,,,,,[]
powerball-1994-08-31,,,,,,[]
powerball-1994-09-03,,,,,,[]
powerball-1994-09-07,,,,,,[]
powerball-1994-09-10,,,,,,[]
powerball-1994-09-14,,,,,,[]
powerball-1994-09-17,,,,,,[]
powerball-1994-09-21,,,,,,[]
powerball-1994-09-24,,,,,,[]
powerball-1994-09-28,,,,,,[]
powerball-1994-10-01,,,,,,[]
powerball-1994-10-05,,,,,,[]
powerball-1994-10-08,,,,,,[]
powerball-1994-10-12,,,,,,[]
powerball-1994-10-15,,,,,,[]
powerball-1994-10-19,,,,,,[]
powerball-1994-10-22,,,,,,[]
powerball-1994-10-26,,,,,,[]
powerball-1994-10-29,,,,,,[]
powerball-1994-11-02,,,,,,[]
powerball-1994-11-05,,,,,,[]
powerball-1994-11-09,,,,,,[]
powerball-1994-11-12,,,,,,[]
powerball-1994-11-16,,,,,,[]
powerball-1994-11-19,,,,,,[]
powerball-1994-11-23,,,,,,[]
powerball-1994-11-26,,,,,,[]
powerball-1994-11-30,,,,,,[]
powerball-1994-12-03,,,,,,[]
powerball-1994-12-07,,,,,,[]
powerball-1994-12-10,,,,,,[]
powerball-1994-12-14,,,,,,[]
powerball-1994-12-17,,,,,,[]
powerball-1994-12-21,,,,,,[]
powerball-1994-12-24,,,,,,[]
powerball-1994-12-28,,,,,,[]
powerball-1994-12-31,,,,,,[]
powerball-1995-01-04,,,,,,[]
powerball-1995-01-07,,,,,,[]
powerball-1995-01-11,,,,,,[]
powerball-1995-01-14,,,,,,[]
powerball-1995-01-18,,,,,,[]
powerball-1995-01-21,,,,,,[]
powerball-1995-01-25,,,,,,[]
powerball-1995-01-28,,,,,,[]
powerball-1995-02-01,,,,,,[]
powerball-1995-02-04,,,,,,[]
powerball-1995-02-08,,,,,,[]
powerball-1995-02-11,,,,,,[]
powerball-1995-02-15,,,,,,[]
powerball-1995-02-18,,,,,,[]
powerball-1995-02-22,,,,,,[]
powerball-1995-02-25,,,,,,[]
powerball-1995-03-01,,,,,,[]
powerball-1995-03-04,,,,,,[]
